
time,AccelerometerX,AccelerometerY,AccelerometerZ,GyroX,GyroY,GyroZ,MagnetometerX,MagnetometerY,MagnetometerZ
5.6210,-0.1311,0.2111,1.0206,1.3432984352111816,-0.05965480953454971,0.1757686287164688,17.899999618530273,-5.400000095367432,36.60000228881836
5.7800,-0.0127,0.5396,0.9981,1.3432984352111816,-0.05965480953454971,0.1757686287164688,17.899999618530273,-5.400000095367432,36.60000228881836
5.7830,-0.0127,0.5396,0.9981,1.3432984352111816,-0.05965480953454971,0.1757686287164688,18.0,-5.300000190734863,36.60000228881836
5.7860,-0.0127,0.5396,0.9981,2.3425164222717285,0.4495415985584259,0.002130528911948204,18.0,-5.300000190734863,36.60000228881836
5.7880,-0.0127,0.5396,0.9981,2.3425164222717285,0.4495415985584259,0.002130528911948204,18.0,-5.300000190734863,36.60000228881836
5.7890,-0.0127,0.5396,0.9981,2.3425164222717285,0.4495415985584259,0.002130528911948204,18.0,-5.300000190734863,36.60000228881836
5.7980,-0.0127,0.5396,0.9981,2.3425164222717285,0.4495415985584259,0.002130528911948204,18.0,-5.300000190734863,36.60000228881836
5.9640,-0.0803,0.8829,0.3016,2.3425164222717285,0.4495415985584259,0.002130528911948204,18.0,-5.300000190734863,36.60000228881836
5.9660,-0.0803,0.8829,0.3016,2.3425164222717285,0.4495415985584259,0.002130528911948204,17.899999618530273,-4.900000095367432,36.60000228881836
5.9670,-0.0803,0.8829,0.3016,3.8093857765197754,0.36858150362968445,0.362189918756485,17.899999618530273,-4.900000095367432,36.60000228881836
5.9680,-0.0803,0.8829,0.3016,3.8093857765197754,0.36858150362968445,0.362189918756485,17.899999618530273,-4.900000095367432,36.60000228881836
5.9700,-0.0803,0.8829,0.3016,3.8093857765197754,0.36858150362968445,0.362189918756485,17.899999618530273,-4.900000095367432,36.60000228881836
5.9810,-0.0803,0.8829,0.3016,3.8093857765197754,0.36858150362968445,0.362189918756485,17.899999618530273,-4.900000095367432,36.60000228881836
6.1450,-0.0834,0.8495,-0.5276,3.8093857765197754,0.36858150362968445,0.362189918756485,17.899999618530273,-4.900000095367432,36.60000228881836
6.1470,-0.0834,0.8495,-0.5276,3.8093857765197754,0.36858150362968445,0.362189918756485,16.30000114440918,17.30000114440918,28.80000114440918
6.2770,-0.0834,0.8495,-0.5276,3.4312167167663574,0.42504051327705383,0.20666129887104034,16.30000114440918,17.30000114440918,28.80000114440918
6.2770,-0.0834,0.8495,-0.5276,3.4312167167663574,0.42504051327705383,0.20666129887104034,16.30000114440918,17.30000114440918,28.80000114440918
6.2770,-0.0834,0.8495,-0.5276,3.4312167167663574,0.42504051327705383,0.20666129887104034,16.30000114440918,17.30000114440918,28.80000114440918
6.2780,-0.0834,0.8495,-0.5276,3.4312167167663574,0.42504051327705383,0.20666129887104034,16.30000114440918,17.30000114440918,28.80000114440918
6.3290,0.0964,0.6095,-0.7389,3.4312167167663574,0.42504051327705383,0.20666129887104034,16.30000114440918,17.30000114440918,28.80000114440918
6.3300,0.0964,0.6095,-0.7389,3.4312167167663574,0.42504051327705383,0.20666129887104034,16.399999618530273,32.400001525878906,4.300000190734863
6.3300,0.0964,0.6095,-0.7389,2.783535957336426,0.7467503547668457,0.39201730489730835,16.399999618530273,32.400001525878906,4.300000190734863
6.3300,0.0964,0.6095,-0.7389,2.783535957336426,0.7467503547668457,0.39201730489730835,16.399999618530273,32.400001525878906,4.300000190734863
